balloon_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,"[-24.63262571786546, -149.51637497563618, 11.5049713786316]","[-24.044095756441678, -151.37108861403968, 10.687763526834328]","[-23.287337000868675, -153.57540613631963, 9.719044721370027]","[-22.481360100225494, -155.7503867531044, 8.772705374835226]","[-19.763607926657954, -162.05810698924728, 6.15623794567728]","[-18.765002089373514, -164.07704790032895, 5.386615273668823]","[-17.72483689351081, -166.04752856476827, 4.680906913913913]","[-15.522490887963153, -169.83398786664927, 3.4888734746113883]","[-14.36668852406731, -171.64741700474073, 3.0137771093606958]","[-11.965306714744152, -175.10188106815286, 2.3289295852207967]","[-9.459538825247726, -178.32049051030634, 2.018107099344258]",,,,,,,,,,,,,
1,"[43.427175985621474, 145.42181641504118, 2.9448576955213372]","[43.698250523723985, 145.43725814728822, 4.26362876877001]","[44.02560670754745, 145.44313196722516, 6.462502155119926]","[44.35624823116161, 145.43272792418054, 9.147733773331213]","[45.364553218378376, 145.30778055023396, 17.67687030398892]","[45.70739783542574, 145.23067426329263, 19.841414568289686]","[46.0502244929877, 145.1377562581407, 21.316806349568918]","[46.74515640883233, 144.89573964402632, 21.751384070689582]","[47.09348956590894, 144.74569237878165, 20.672461379648528]","[47.79704900537117, 144.3856078047837, 16.389307939695236]","[48.503067173011004, 143.94014134583617, 10.595557224823928]",,,,,,,,,,,,,
2,"[77.89101143983572, 176.96918567475785, 2.0569290876278554]","[78.32956297478704, 172.31521105171356, 2.01725214765068]","[78.76512666035774, 166.4938463408999, 2.3294425089638082]","[79.0961850443444, 160.48588779311117, 3.0217496666644514]","[79.42951102530472, 142.47507716578045, 7.040145486785721]","[79.33107949234258, 136.90662937304876, 8.85076768668349]","[79.13835665424838, 131.73985788668415, 10.785733484219085]","[78.53174481491533, 122.88563831659262, 14.71989727542265]","[78.14007820399866, 119.2549917740502, 16.565457573572047]","[77.23850579115097, 113.5731036717684, 19.651639799870182]","[76.23472414773396, 109.83619436692426, 21.54666757239213]",,,,,,,,,,,,,
3,"[-71.66868612912357, -24.08448309395922, 12.38064838570344]","[-71.42232105338742, -21.650605683003523, 11.063912705170535]","[-71.10920268381038, -18.772299362722205, 9.506924694182468]","[-70.77943867479019, -15.94971872152299, 8.012619327600849]","[-69.6875791187824, -7.845302883074877, 4.2626869282714015]","[-69.29631049916416, -5.2736559717323885, 3.36138794351716]","[-68.89291420022512, -2.7732237546375758, 2.6756129198194127]","[-68.05662603916166, 2.017560865166815, 2.0142231774014245]","[-67.62781527474517, 4.308161335183563, 2.05494628159372]","[-66.75046642714048, 8.668195294202134, 2.8741255344118812]","[-65.86390226654196, 12.744446116336313, 4.599304653894437]",,,,,,,,,,,,,
4,"[18.30341885402537, -104.84127383801751, 2.4389333562885085]","[19.73821263168856, -104.40637453101411, 2.2257522130595824]","[21.56012569450942, -103.84673550198114, 5.216995846058094]","[23.487197120775242, -103.24867767681299, 10.67237068883937]","[29.891528196176974, -101.2166799937365, 21.91156486870213]","[32.225182917369985, -100.45794431416752, 19.348289753655436]","[34.65287128720788, -99.65981713709895, 14.113475111722655]","[39.7760320397045, -97.92455956037072, 3.523030421270933]","[42.46731055129693, -96.98100357929269, 2.0141975969839887]","[48.085774784559725, -94.89983160711435, 9.112501792759671]","[53.99390126401309, -92.47745799268426, 20.0271344123849]",,,,,,,,,,,,,
5,"[-8.91784716373935, 128.4255671102022, 10.942081380222778]","[-8.629655192113855, 126.38364582587556, 14.708342416107886]","[-8.306984758268598, 124.07903059947132, 18.67361773554431]","[-8.004872824754537, 121.93820302916987, 21.272254686492253]","[-7.1974057917202545, 116.52138442139554, 17.52789393565451]","[-6.948328705767291, 115.06227704228598, 13.29072395248874]","[-6.708636742910859, 113.7777257062449, 8.78827255569269]","[-6.236498645752819, 111.75049045291702, 2.5437321236797192]","[-6.000997010640698, 111.00830211287446, 2.078174324289563]","[-5.528846621891824, 110.07584870611517, 6.917715303498916]","[-5.047267522656535, 109.88712298513312, 15.705015052071747]",,,,,,,,,,,,,
6,"[7.921703028732148, 169.36489680186872, 2.8959226661334103]","[9.552683229737147, 167.61121256007306, 2.016352719345992]","[11.439635009431255, 165.40314015954138, 3.965890870762065]","[13.242320109185744, 163.08852281057645, 8.546938753779905]","[18.067983753998238, 155.53786594999156, 21.835036579686232]","[19.463565919943992, 152.8378355930573, 21.21625711780454]","[20.741910014305738, 150.05839749284004, 17.577320908927522]","[22.941372089263982, 144.30339876347372, 6.610224500151665]","[23.858178141410328, 141.34915095752896, 2.873092609107463]","[25.3285412759243, 135.35684856536488, 4.614628217888862]","[26.332037496905393, 129.33675231980058, 15.241724527777905]",,,,,,,,,,,,,
7,"[19.36920537627884, -141.000566413819, 16.819471470349008]","[19.53221161882681, -139.85682070092605, 12.335039169196014]","[19.690836563789095, -138.4335161306456, 6.945931063190882]","[19.805373277754047, -136.95457147499894, 3.119617160915041]","[19.883383360710656, -132.21154475311602, 8.488923108812433]","[19.815327843715206, -130.53978893518237, 14.030319661079924]","[19.70162792752366, -128.82653867316307, 18.945664051614806]","[19.333446066660763, -125.29441542774775, 21.481492264948624]","[19.07775775906205, -123.48017118865678, 18.31896342643565]","[18.430345886159827, -119.77968815964725, 7.718750231400716]","[17.60826298428885, -115.9963571515088, 2.000016352953555]",,,,,,,,,,,,,
8,"[19.05376984430662, 8.20672637174171, 18.652578078122172]","[17.663366580662384, 8.999588060277873, 21.17449116203113]","[16.165177173714394, 9.927891333329372, 21.937927621914817]","[14.847963379203891, 10.827816989895162, 20.06855261482884]","[11.998158446360305, 13.349550249891527, 6.166375571957726]","[11.408872487541402, 14.123370389026848, 2.899637587901598]","[10.997979321119798, 14.864926374890553, 2.043426537336881]","[10.7024110572098, 16.243117974968097, 7.771849479111952]","[10.813677538914385, 16.88309864033611, 12.84005027032761]","[11.536799663220002, 18.067979805148738, 21.02320301437993]","[12.909678907473873, 19.148033435108996, 20.27874542250315]",,,,,,,,,,,,,
9,"[-25.4079313698361, 159.1071307077064, 2.32029136329356]","[-25.573601603206846, 162.1766470003731, 3.0386452254232186]","[-25.51154098232922, 165.815471277443, 4.397576628895786]","[-25.17305233789774, 169.37182950819493, 6.2185163265582055]","[-22.67572068412472, 179.1988402155519, 13.249692141524541]","[-21.425045024470396, -177.88356785328702, 15.63968734210438]","[-20.00700707956155, -175.1700950341846, 17.80890740201252]","[-16.768329873654135, -170.37160133874025, 20.975934821820303]","[-14.998769069109109, -168.2843941409686, 21.781933307435686]","[-11.270649380267669, -164.70770020079766, 21.59594805810755]","[-7.424226547934024, -161.8735335465339, 19.11079898771002]",,,,,,,,,,,,,
